"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"ALG14","Q96F25","","ALG14 UDP-N-acetylglucosaminyltransferase subunit(ALG14)","Homo sapiens"
"ALG2","Q9H553","","ALG2 alpha-1,3/1,6-mannosyltransferase(ALG2)","Homo sapiens"
"ALG5","Q9Y673","","ALG5 dolichyl-phosphate beta-glucosyltransferase(ALG5)","Homo sapiens"
"ALOX15B","O15296","","arachidonate 15-lipoxygenase type B(ALOX15B)","Homo sapiens"
"ALOX5","P09917","","arachidonate 5-lipoxygenase(ALOX5)","Homo sapiens"
"ALPP","P05187","","alkaline phosphatase, placental(ALPP)","Homo sapiens"
"ALS2CL","Q60I27","","ALS2 C-terminal like(ALS2CL)","Homo sapiens"
"AMACR","Q9UHK6","","alpha-methylacyl-CoA racemase(AMACR)","Homo sapiens"
"AMDHD2","Q9Y303","","amidohydrolase domain containing 2(AMDHD2)","Homo sapiens"
"AMOTL2","Q9Y2J4","","angiomotin like 2(AMOTL2)","Homo sapiens"
"ANAPC1","Q9H1A4","","anaphase promoting complex subunit 1(ANAPC1)","Homo sapiens"
"ANAPC2","Q9UJX6","","anaphase promoting complex subunit 2(ANAPC2)","Homo sapiens"
"ANAPC5","Q9UJX4","","anaphase promoting complex subunit 5(ANAPC5)","Homo sapiens"
"ANK2","Q01484","","ankyrin 2(ANK2)","Homo sapiens"
"ANK3","Q12955","","ankyrin 3(ANK3)","Homo sapiens"
"ANKIB1","Q9P2G1","","ankyrin repeat and IBR domain containing 1(ANKIB1)","Homo sapiens"
"ANKRD22","Q5VYY1","","ankyrin repeat domain 22(ANKRD22)","Homo sapiens"
"ANKRD26","Q9UPS8","","ankyrin repeat domain containing 26(ANKRD26)","Homo sapiens"
"ANKRD27","Q96NW4","","ankyrin repeat domain 27(ANKRD27)","Homo sapiens"
"ANKRD50","Q9ULJ7","","ankyrin repeat domain containing 50(ANKRD50)","Homo sapiens"
"ANKS1A","Q92625","","ankyrin repeat and sterile alpha motif domain containing 1A(ANKS1A)","Homo sapiens"
"ANO1","Q5XXA6","","anoctamin 1(ANO1)","Homo sapiens"
"ANO6","Q4KMQ2","","anoctamin 6(ANO6)","Homo sapiens"
"ANO8","Q9HCE9","","anoctamin 8(ANO8)","Homo sapiens"
"ANXA9","O76027","","annexin A9(ANXA9)","Homo sapiens"
"AP1S3","Q96PC3","","adaptor related protein complex 1 subunit sigma 3(AP1S3)","Homo sapiens"
"AP2A1","O95782","","adaptor related protein complex 2 subunit alpha 1(AP2A1)","Homo sapiens"
"APEH","P13798","","acylaminoacyl-peptide hydrolase(APEH)","Homo sapiens"
"APLP2","Q06481","","amyloid beta precursor like protein 2(APLP2)","Homo sapiens"
"APOB","P04114","","apolipoprotein B(APOB)","Homo sapiens"
"APOL2","Q9BQE5","","apolipoprotein L2(APOL2)","Homo sapiens"
"APOO","Q9BUR5","","apolipoprotein O(APOO)","Homo sapiens"
"APOOL","Q6UXV4","","apolipoprotein O like(APOOL)","Homo sapiens"
"APP","P05067","","amyloid beta precursor protein(APP)","Homo sapiens"
