"","Jurkat","KMBC2","MCF7","231"
"Q6P9B9",-1.27,-3.09,-2.52,-2.35
"Q6PCB0",0.0884,-0.643,-0.145,-0.35
"Q6PCB5",-1.86,-2.41,-2.7,-4.19
"Q6PCB6",0.0884,-0.643,-0.145,-0.35
"Q6PCB7",0.0884,-1.05,-0.145,-2.09
"Q6PCD5",-4.46,-5.35,-3.9,-5.44
"Q6PCE3",-2.39,-5.68,-0.145,-0.35
"Q6PD62",-3.38,-3.11,-0.676,-1.85
"Q6PD74",0.0884,-2.38,-0.145,-0.35
"Q6PEY2;P0DPH7;Q71U36;P0DPH8;P68363;Q9BQE3",-1.9,-4.03,-0.456,-0.91
"Q6PGN9",-3.78,-0.234,-2.02,-1.68
"Q6PGP7",-4.15,-3.9,-2.71,-0.35
"Q6PHR2",0.0884,-0.643,-0.145,-0.35
"Q6PI47",-2.37,-0.643,-1.4,-1.84
"Q6PI48",2.88,-4.46,-0.622,-0.32
"Q6PI78",0.0884,-0.643,-0.145,-0.35
"Q6PIF6",-4.9,-0.643,1.01,-0.35
"Q6PII3",-1.75,-4.43,-2.31,-4.67
"Q6PIJ6",-2.29,-2.76,-0.721,-3.91
"Q6PIU2",0.403,-3.55,-0.113,-2.56
"Q6PIW4",-2.3,-4.61,-4.28,-2.83
"Q6PIY7",0.0884,-1.24,-1.97,-0.35
"Q6PJ69",-3.98,-3.36,-4.47,-4.68
"Q6PJG2",-4.66,-6.67,-3.4,-8.08
"Q6PJG6",-4.69,-5.35,-1.89,-5.88
"Q6PJI9",0.0884,-1.65,-2.17,-0.35
"Q6PJT7",-1.67,-2.09,-1.36,-2.41
"Q6PJW8",0.0884,-0.643,-0.145,-0.35
"Q6PK04",-1.04,-4.02,-1.19,-0.975
"Q6PKC3",0.0884,-0.643,-0.145,-0.35
"Q6PKG0",-1.13,-2.8,-0.245,-0.929
"Q6PKG0;Q659C4",-3.89,-2.39,-0.966,-2.59
"Q6PL18",-0.871,-0.641,-0.872,-1.04
"Q6PML9",0.0884,-1.51,-0.145,-0.35
"Q6Q0C0",0.0884,-0.643,-3.04,0.667
"Q6QHC5",0.0884,-0.643,-1.03,-0.35
"Q6QNY0",0.0884,-1.4,-0.145,-0.35
"Q6R327",-0.36,-2.57,-0.101,-1.93
"Q6RFH5",-2.38,-2.23,-0.608,-1.45
"Q6RW13",0.0884,-0.643,-0.176,-0.35
"Q6S8J3;P63261;P68133;P62736;P68032;P60709;P63267;A5A3E0;P0CG38",-0.572,-1.21,0.815,-1.8
"Q6S8J3;P63261;P68133;P62736;P68032;P60709;P63267;A5A3E0;P0CG38;P0CG39",-1.31,-1.42,-0.627,-1.14
"Q6S8J3;P63261;Q9BYX7;P60709;A5A3E0;P0CG38;P0CG39",-1.54,-1.67,-0.552,-1.57
"Q6SJ93",-0.425,-1.83,-2.07,-1.29
"Q6SJ96;P20226",-2.51,-3.36,-0.78,-2.73
"Q6SPF0",-3.09,-4.94,-0.61,-3.38
"Q6STE5",-5.12,-6.99,-5.32,-8.96
"Q6SZW1",-0.715,-0.643,-0.951,-0.35
"Q6U841",0.0884,-0.643,-0.145,-0.35
"Q6UB35",1.81,1.53,0.459,1.74
"Q6UB99",0.0884,-1.8,-0.145,-1.89
"Q6ULP2",0.0884,-0.643,-2.24,-0.35
"Q6UN15",-1.88,-0.14,-0.226,-1.08
"Q6UUV7",-0.595,-5.14,-4.19,-5.32
"Q6UVJ0",-6.72,-5.53,-0.567,-5.05
"Q6UW02",0.0884,-2.09,-1.14,-0.35
"Q6UW63",0.0884,-1.2,-0.145,-0.35
"Q6UW68",-0.86,-2.81,-1.45,-0.288
"Q6UWE0",-3.31,-2.63,-1.37,-3.52
"Q6UWH4",0.0884,-0.643,-0.145,-0.35
"Q6UWJ1",0.0884,-0.643,-0.145,-0.35
"Q6UWP7",0.0884,-0.643,1.27,0.899
"Q6UWP8",-0.154,-0.812,0.862,1.06
"Q6UWU4",0.0884,-0.643,-0.145,-0.35
"Q6UX04",-2.85,-4.46,-1.24,-2.02
"Q6UX07",0.0884,-0.643,-0.145,-0.35
"Q6UX71",-0.437,-0.643,-0.145,-0.35
"Q6UXD5",0.0884,-1.69,-0.638,-0.35
"Q6UXG2",0.0884,-0.643,-2.22,-3.64
"Q6UXI9",0.0884,0.536,-0.145,-0.35
"Q6UXN9",-3.3,-2.31,-1.25,-2.3
"Q6UXV4",0.0884,-1.99,-0.145,-0.858
"Q6V0I7",0.0884,-0.643,-0.145,-0.35
"Q6V1X1",-2.51,-2.97,-0.145,-1.85
"Q6VN20",-0.827,-2.69,-1.14,-1.84
"Q6VUC0;P05549;Q92481",0.0884,-4.41,-1.76,-1.84
"Q6VY07",-1.73,-2.44,-0.704,0.582
"Q6W2J9",-5.28,-6.44,-5.32,-4.73
"Q6W4X9",0.0884,-0.643,-0.145,-0.35
"Q6WCQ1",-1.64,-1.56,1.06,-0.314
"Q6WKZ4",-3.63,-1.5,-1.62,-0.997
"Q6WKZ4;Q7L804",-0.457,-2.48,0.29,0.237
"Q6XQN6",-0.791,-1.76,-0.145,-1.17
"Q6XZF7",-3.46,-1.99,0.379,-1.61
"Q6Y1H2",-0.792,-3.35,-1.12,-1.22
"Q6Y2X3",0.0884,-0.643,-1.13,-0.35
"Q6Y7W6",-1.7,-1.23,-0.478,-0.854
"Q6YHK3",-0.978,-1.94,-0.145,-0.35
"Q6YHU6",0.0884,-1.21,-0.145,0.753
"Q6YI46",0.0884,-0.643,-0.145,-0.35
"Q6YN16",-1.16,-1.93,-1.85,-1.98
"Q6YP21",-1.71,-1.68,0.868,-0.0493
"Q6ZMG9",-0.887,-1.77,0.0568,-0.876
"Q6ZMI0",0.0884,-2.56,-1.04,-0.35
"Q6ZMK1",-0.764,-2.59,-3.29,-3.65
"Q6ZMP0",0.0884,-0.643,-0.145,-0.35
"Q6ZMZ3",0.0884,-0.643,-0.145,-0.886
"Q6ZN28",0.0884,-1.75,0.528,-1.28
"Q6ZN55",-2.83,-3.3,-4.26,-2.62
"Q6ZNB6",-2.07,-2.82,-1.77,-4
"Q6ZNE5",0.0884,-0.643,-0.145,-0.35
"Q6ZNJ1",-3.11,-3,-0.446,0.00512
"Q6ZNW5",0.0884,-0.643,-0.145,-0.35
"Q6ZPD9",0.0884,-0.643,-0.145,-0.35
"Q6ZRI6",-4.23,-4.98,-4.44,-5.47
"Q6ZRP7",-0.887,-0.742,0.947,-0.0112
"Q6ZRQ5",-4.52,-4.86,-1.99,-5.91
"Q6ZRS2",0.0884,-2.58,-2.67,-2.13
"Q6ZRV2",-1.24,-2.08,-0.986,-2.55
"Q6ZRY4;Q93062",0.0884,-0.832,-0.145,0.35
"Q6ZS17",0.656,-1.32,-0.145,-2.15
"Q6ZS30",0.0884,-1.32,0.051,-1.04
"Q6ZSS7",0.0884,-1.12,-0.145,-0.35
"Q6ZSY5",0.0884,-0.643,-0.145,-1.06
"Q6ZSZ5",-2.6,-2.73,0.656,-0.242
"Q6ZT07",-1.46,-0.643,-3.19,-0.35
"Q6ZT12",-1.94,-3.51,-4.14,-3.62
"Q6ZT21",0.0884,-1.25,-1.59,-1.21
"Q6ZT62;Q9Y3L3",-0.365,-3.83,-0.552,-0.689
"Q6ZTW0",-6.04,-4.85,-0.145,-1.05
"Q6ZU65",-0.834,-2.92,-1.16,-1.46
"Q6ZU80",-1.41,-3.52,-2.03,1.51
"Q6ZUI0",0.0884,-0.643,-0.145,-0.35
"Q6ZUJ8",-0.867,-0.882,0.629,-0.35
"Q6ZUM4",-0.694,-3.06,-2.14,-0.35
"Q6ZUT1",-0.0916,0.589,-0.028,-0.033
"Q6ZUT6",0.0884,-2.82,-0.145,-3.33
"Q6ZV29",0.0884,-0.643,-0.145,-0.35
"Q6ZVM7",-0.856,-2.48,-1.43,-1.51
"Q6ZVX7",0.264,1.18,0.921,0.707
"Q6ZW31",0.0884,-0.795,-0.145,-2.33
"Q6ZW49",-5.47,-6.27,-3.72,-6.17
"Q6ZWJ1",0.0884,-2.86,-0.145,-1.35
"Q6ZWT7",-0.881,-0.643,-0.145,-0.35
"Q6ZXV5",0.0884,-0.773,0.837,-1.6
"Q709C8",-2.42,-1.56,-2.21,-2.89
"Q709F0",0.0884,-0.733,-0.978,-1.21
"Q70CQ2",-2.88,-4.42,-3.77,-5.04
"Q70CQ3",0.0884,-0.643,-0.145,-0.35
"Q70CQ4",-1.54,-7.05,-0.145,-1.96
"Q70E73",0.0884,-1.61,-2.55,-2.71
"Q70EK8",0.0884,-0.643,-0.145,-0.35
"Q70EL1",-1.12,-0.643,-0.145,-0.35
"Q70EL4",0.0884,-3.57,-0.145,-0.35
"Q70J99",-3.75,-2.87,-1.14,-1.55
"Q70UQ0",-0.0104,-1.37,0.181,-0.384
"Q70Z53",-3.09,-2.54,-0.145,-3.09
"Q71F23",-4.61,-2.73,-3.49,-3.13
"Q71F56",0.0884,-3.74,-4.24,-3.57
"Q71RC2",-4.46,-2.14,-1.05,-2.22
"Q71SY5",-3.08,-8.09,-4.27,-7.6
"Q71U36;P68363;Q9BQE3",-2.4,-2.09,-0.556,-1.65
"Q71U36;P68366;P68363;Q9BQE3",-0.202,-0.0174,-1.28,1.46
"Q75N03",-2.5,-2.79,-0.282,-3.4
"Q75QN2",-0.995,-2.06,-3.12,-3.23
"Q76B58",0.0884,-0.643,-0.145,-0.35
"Q76FK4",-2.38,-2.49,-1.05,-0.743
"Q76L83",-0.925,-3.13,-2.43,-3.14
"Q76M96",0.0884,-1.96,-0.145,-0.35
"Q76MJ5",0.0884,-0.643,-0.145,-0.35
"Q76N32",0.582,-0.643,-0.67,-0.35
"Q7KZ85",-2.92,-1.51,-0.701,-1.87
"Q7KZF4",-2.14,-1.73,-0.559,-1.06
"Q7KZI7",-3.15,-3.25,-1.27,-3.95
"Q7KZN9",0.0884,-0.643,-0.145,-0.35
"Q7L014",-1.86,-0.944,-0.206,-1.1
"Q7L099",-0.787,0.697,-0.145,-0.35
"Q7L0Y3",-1.5,-3.11,-1.68,-0.127
"Q7L1Q6",-2.13,-1.66,-0.469,-0.679
"Q7L1V2",-1.81,-2.44,-0.785,-1.44
"Q7L1W4",0.0884,-0.643,-0.145,-0.35
"Q7L211",0.0884,-0.643,-0.145,-0.35
"Q7L266",-2.14,-0.643,-0.145,-0.35
"Q7L273",-0.728,-1.5,-0.531,-1.78
"Q7L2E3",-1.92,-0.644,-0.608,-0.766
"Q7L2H7",-2.23,-1.8,-0.857,-1.51
"Q7L2J0",-2.25,-1.51,-0.817,-1.27
"Q7L2Z9",-2.96,-1.51,-1.18,-3.35
"Q7L311",0.0884,-0.643,-0.793,-3.36
"Q7L3T8",0.0884,-0.643,-0.145,-0.35
"Q7L4E1",0.0884,-0.643,-0.145,-0.35
"Q7L4I2",-2.27,-0.276,0.318,0.487
"Q7L4P6",-3.61,-4.99,-0.145,-0.35
"Q7L523",-2.39,-3.24,-0.276,-0.539
"Q7L523;Q5VZM2",-1.62,-2.89,-0.199,-2.29
"Q7L576",-1.88,-1.48,-0.634,-1.35
"Q7L576;Q96F07",-1.67,-1.51,-0.486,-1.39
"Q7L590",-5.71,-4.09,-3.45,-5.79
"Q7L5D6",-2.54,-4.39,-1.1,-3.3
"Q7L5L3",0.0884,-1.34,-0.145,-0.35
"Q7L5N1",-2.28,-3.44,-0.683,-1.65
"Q7L5N7",0.0884,-2.68,-0.145,0.576
"Q7L5Y1",0.0884,-1.82,-0.145,-1.79
"Q7L5Y9",-3.63,-3.12,-1.21,-4.43
"Q7L775",-0.687,-5.34,-2.29,-3.26
"Q7L7V1",0.0884,-1.64,-0.269,-2.68
"Q7L7X3",-1.83,-7.83,-3.61,-7.71
"Q7L8J4",0.0884,-0.643,-0.145,-0.35
"Q7L8L6",0.0884,-1.67,-0.145,-2.39
"Q7L9B9",0.0884,-1.61,-0.145,-0.35
"Q7L9L4;Q9H8S9",-3.36,-3.89,-1.21,-2.74
"Q7LBC6",-3.72,-3.73,-1.25,-2.55
"Q7LBR1",-2.76,-3.17,-1.12,-1
"Q7LFL8",0.0884,-6.04,-5.04,-2.33
"Q7LG56",0.0884,-0.643,-1.79,-1.25
"Q7LGA3",0.0884,-0.643,0.624,-0.222
"Q7RTP6",0.0884,-4.8,-1.73,-1.21
"Q7RTV5",0.0884,-0.643,-0.145,-0.35
"Q7Z2E3",-2.39,-4.44,-3.3,-4.08
"Q7Z2K6",-1.79,-1.67,0.148,2.99
"Q7Z2T5",-4.26,-5.29,-2.03,-3.16
"Q7Z2W4",-3.05,-1.95,-0.802,-1.48
"Q7Z2W9",-1.89,-1.65,0.371,-1.47
"Q7Z2Z2",-3.81,-2.3,0.485,-2.6
"Q7Z333",-3.42,-5.52,-3.64,-5.03
"Q7Z353",0.0884,-0.643,-0.145,-3.23
"Q7Z392",-4.17,-4.14,-2.75,-3.76
"Q7Z3B3",-4.58,-5.04,-2.1,-4.85
"Q7Z3B4",-3.55,-1.52,-0.0805,-1.06
"Q7Z3C6",0.0884,-3.72,-1.5,-2.05
"Q7Z3D4",0.0884,-0.643,-0.145,-0.35
"Q7Z3D6",0.0884,-1.39,-0.145,-0.35
"Q7Z3E2",-1.26,-2.15,1.27,-0.956
"Q7Z3E5",-1.34,-1.39,-2.54,-2.49
"Q7Z3J2",-3.9,-1.88,-0.0615,-2.65
"Q7Z3J3;O14715;P49792;A6NKT7;Q99666",-1.68,-2.98,-0.883,-0.866
"Q7Z3K3",-3.34,-3.41,-1.02,-1.72
"Q7Z3K6",-1.86,-2.01,-0.145,-3.58
"Q7Z3T8",0.0884,-4.59,-2.93,-4.4
"Q7Z3U7",-0.936,-2.65,-0.805,-1.04
"Q7Z3V4",-1.64,-2.44,-0.145,-2.84
"Q7Z404",0.0884,-0.643,-0.145,-0.35
"Q7Z406",-0.0185,-1.65,-0.498,2.74
"Q7Z406;P35580",-0.983,-3.74,-1.07,-1.38
"Q7Z406;P35580;P35749;P35579",-0.533,-1.22,0.26,-0.751
"Q7Z406;P35749;P35579",-1.84,-2.5,0.132,-1.17
"Q7Z412",0.213,-1.24,-1.33,0.739
"Q7Z417",-3.86,-2.6,-0.934,-2.06
"Q7Z434",-1.37,-2.35,-0.0355,-1.42
"Q7Z460",-3.62,-3.95,-1.19,-0.75
"Q7Z460;O75122",-2.7,-2.18,-0.791,-1.44
"Q7Z478",-2.15,-1.99,-0.618,-1.33
"Q7Z4F1",0.0884,-0.643,-0.145,-0.526
"Q7Z4G4",0.0884,-1.2,-0.594,-0.973
"Q7Z4H7",-7.27,-6.05,0.881,-3.95
"Q7Z4H8",0.0884,-2.97,-0.145,-1.01
"Q7Z4L5",-5.38,-2.18,-0.145,-3.26
"Q7Z4Q2",-3.35,-2.97,-2.4,-3.54
"Q7Z4R8",0.0884,-1.33,-0.145,-1.26
"Q7Z4S6",0.983,0.0283,2.05,3.57
"Q7Z4S6;O75037",-0.778,-0.653,0.0016,-0.35
"Q7Z4V5",-2.61,-3.44,-0.508,-3.56
"Q7Z4W1",-1.29,-1.43,-0.611,0.183
"Q7Z569",-0.709,-1.05,-1.64,-0.359
"Q7Z589",-3.48,-2.14,-3.53,-4.95
"Q7Z591",-4.55,0.712,-0.145,-0.35
"Q7Z5G4",-0.947,-4.03,-1.27,-2.42
"Q7Z5J4",-4.97,-4.57,-5.91,-6.9
"Q7Z5K2",-2.64,-2.69,-0.691,-1.64
"Q7Z5L9",-5.14,-6.65,-3.38,-5.52
"Q7Z5P4",0.0884,-0.643,-0.145,-0.35
"Q7Z5Q1",0.0884,-0.643,-0.145,-0.35
"Q7Z5Q1;Q8NE35;Q17RY0",-0.722,-0.643,-0.145,-0.445
"Q7Z5R6",-3.04,-0.643,1.2,-2.48
"Q7Z628",-1.96,-0.643,-0.145,-5.23
"Q7Z6B0",0.0884,-0.643,-0.145,-0.35
"Q7Z6B7",0.0884,-2.71,-1.47,-3.14
"Q7Z6E9",-0.614,-0.627,0.086,-0.734
"Q7Z6J0",0.0884,-1.12,-0.145,-1.42
"Q7Z6L1",-0.728,-0.643,-0.145,-0.35
"Q7Z6Z7",-2.67,-1.56,-0.192,-1.3
"Q7Z736",0.0884,-1.33,0.37,-1.13
"Q7Z739",-5.31,-3.47,-1.26,-1.49
"Q7Z794",0.0799,0.478,0.673,-0.178
"Q7Z7A1",-3.75,-3.43,-0.145,1.24
"Q7Z7C8",-3.16,-2.45,-0.633,-2.73
"Q7Z7E8",-4.4,-1.63,-1.81,-6.04
"Q7Z7F0",-2.52,-2.61,-0.713,-3.82
"Q7Z7F7",-0.349,-1.44,-1.27,-2.99
"Q7Z7G8",-0.556,-1.76,0.814,-1.61
"Q7Z7H5",-0.855,-2.68,2.57,-0.35
"Q7Z7H8",0.0884,-1.08,-0.434,-0.35
"Q7Z7K6",-1.85,-1.59,1.91,-2.38
"Q7Z7L7",0.0884,-2.67,-1.17,-1.46
"Q7Z7M0",0.0884,-0.643,-0.145,-0.35
"Q7Z7M9",0.0884,-1.41,-0.145,-0.35
"Q86SF2",0.0884,-4.96,-1.61,-2.78
"Q86SJ6",0.0884,-2.72,-0.145,-0.35
"Q86SK9",0.0884,-0.643,-0.145,-0.35
"Q86SQ0",-0.427,-1.85,0.41,-1.14
"Q86SQ7",-4.16,-3.55,1.21,-3.12
"Q86SR1",0.0884,-0.643,-0.145,-0.35
"Q86SU0",0.0884,-0.643,-0.145,-0.35
"Q86SX3",-3.96,-1.25,-0.145,-1.77
"Q86SZ2",-1.97,0.671,-0.145,-0.568
"Q86T24",-4.1,-5.72,-4.09,-5.49
"Q86T82",-0.621,-0.79,-0.145,-1.18
"Q86T90",-1.35,-2.04,-0.145,-0.35
"Q86TB9",-2.97,-2.92,-0.781,-0.756
"Q86TG7",0.0884,-2.11,-0.145,-1.96
"Q86TI0",-1.7,-1.49,-1.31,-1.38
"Q86TI2",-2.77,-5.45,-2.05,-3
"Q86TJ2",0.0884,-4.98,-1.71,-3.2
"Q86TM6",0.0884,-2.44,-0.145,-3.89
"Q86TN4",-1.76,-2.62,-1.06,-0.874
"Q86TP1",-1.33,-0.643,0.516,-1.73
"Q86TU7",-3.07,-2.57,-1.09,-2.48
"Q86TV6",0.0884,-0.643,-0.145,-0.35
"Q86TW2",0.0884,-0.643,-0.145,-0.35
"Q86TX2;P49753",0.0884,-2.63,-1.28,-1.97
"Q86U38",-2.02,-2.62,-0.872,-1.48
"Q86U42",-2.34,-0.77,-0.45,-2.3
"Q86U44",-3.37,-5.69,-0.927,-4.1
"Q86U70",-5.76,-5.49,-5.6,-5.62
"Q86U86",-1.3,-1.57,-0.7,-0.961
"Q86UA1",-1.85,-5.06,-3.96,-4.12
"Q86UB9",0.0884,-0.643,-0.145,-0.35
"Q86UE4",0.665,-0.695,-0.372,-0.415
"Q86UE8",-3.06,-4.23,-3.55,-2.33
"Q86UK0",0.0884,-0.643,-0.145,-0.35
"Q86UK7",-4.88,-2.66,-0.502,-1.37
"Q86UL3",0.0884,-0.643,-0.145,-0.35
"Q86UL8",0.0884,-0.643,-0.145,-0.35
"Q86UP2",-1.74,-1.72,-0.203,-0.839
"Q86UP3",0.0884,-0.643,-1.07,-5.15
"Q86UP3;Q15911",0.0884,-4.42,-5.16,-4.34
"Q86US8",-5.58,-3.69,-1.24,-1.22
"Q86UT6",-0.291,-0.405,-0.145,-0.824
"Q86UU0",0.0884,-7.61,-5.89,-5.94
"Q86UU1",0.0884,-1.64,0.91,-3.21
"Q86UV5",-4.5,-3.21,-2.79,-2.66
"Q86UW7",0.0884,-0.643,-0.145,-0.35
"Q86UW7;Q9ULU8",0.0884,-0.663,-0.145,-0.35
"Q86UW9",-2.94,-5.49,-3.97,-5.36
"Q86UX7",-2.77,-0.643,2.09,-2.77
"Q86UY5",0.0884,-3.39,0.681,-0.35
"Q86UY8",0.0884,-0.643,-0.145,-1.75
"Q86V15",0.0884,-5.69,-5.61,-3.34
"Q86V21",-0.762,-4.11,-0.859,-2.82
"Q86V24",0.0884,-0.643,-0.145,-0.35
"Q86V48",-5.8,-2.74,0.177,-0.966
"Q86V81",-0.639,-0.254,-0.98,-0.883
"Q86V85",0.0884,-1.37,-0.145,-0.35
"Q86V87",0.0884,-0.643,-1.05,-0.35
"Q86VH2",-2.55,-1.39,-0.145,-1.84
"Q86VI3",0.791,-1.66,-0.591,-1.56
"Q86VM9",-2.23,-0.516,-2.5,-2.42
"Q86VN1",-2.22,-2.67,-2.22,-2.99
"Q86VP1",-1.09,1.54,-0.917,-0.298
"Q86VP6",-1.66,-2,-0.542,-0.977
"Q86VQ6",0.0884,-2.37,-0.984,-0.35
"Q86VR2",0.0884,-2.7,-0.17,-0.389
"Q86VS8",-2.8,-2.57,-0.00249,-0.698
"Q86VU5",-0.563,-0.798,-0.684,-0.35
"Q86VV8",-3.53,-2.43,-0.145,-2.33
"Q86VW0",-2.66,-4.43,-0.145,-3.02
"Q86VX2",0.0884,-1.97,0.522,-2.05
"Q86VY4",-0.219,-0.643,-0.508,-1.54
"Q86W26",0.0884,-0.871,-0.145,-0.35
"Q86W34",-2.23,-2.26,-2.19,-0.141
"Q86W42",-2.56,-3.52,-0.882,-2.42
"Q86W50",-2.94,-1.53,-0.955,-2.94
"Q86W54",-2.89,-0.643,-0.145,-0.35
"Q86W56",-2.78,-2.77,-0.755,-2.57
"Q86W92",-0.519,-2.81,-2.09,-0.384
"Q86WA6",0.0884,-2.03,-0.184,-0.35
"Q86WA8",0.188,0.473,-0.538,-0.701
"Q86WB0",-1.86,-1.6,-0.82,-1.91
"Q86WG5",0.0884,-1.38,-0.145,-0.35
"Q86WJ1",-1.49,-0.643,-3.41,-0.692
"Q86WQ0",-4.13,-4.46,-3.97,-4.9
"Q86WR0",-3.67,-4.08,-1.59,-3.84
"Q86WR7",0.0884,-1.51,-0.145,-1.25
"Q86WU2",0.0884,-0.643,-0.145,-0.35
"Q86WV6",0.0884,-1.44,-0.686,-0.35
"Q86WX3",-2.57,-2.52,-1.28,-0.669
"Q86X02",-0.8,-0.1,-0.145,1.01
"Q86X10",-1.27,-3.82,-1.64,-4.4
"Q86X27",0.0884,-0.643,-0.145,-0.35
"Q86X29",0.0884,-2.58,-0.535,0.379
"Q86X55",-1.54,-3.79,-1.88,-3.1
"Q86X76",-3.56,-5.32,0.18,-4.76
"Q86X83",-3.73,-3.39,-0.747,-1.72
"Q86X95",-1.2,-0.643,1.92,-0.35
"Q86XA9",0.0884,-3.17,-0.779,-1.23
"Q86XI2",-2.79,-4.54,-2.1,-2.56
"Q86XI8",0.0884,-3.8,-0.699,-3.59
"Q86XK2",0.708,-2.35,-3.2,-0.632
"Q86XL3",-1.66,-2.24,-0.145,-1.08
"Q86XN7",-2.93,-4.7,-4.53,-3.86
"Q86XN8",-0.936,-0.643,-0.145,-0.35
"Q86XP3",-1.11,-2.37,-0.457,-0.904
"Q86XR8",-3.65,-3.24,-0.145,-0.992
"Q86XS8",0.0884,-0.643,-0.145,-0.35
"Q86XZ4",-2.83,-3.23,0.698,-2.85
"Q86Y07",0.0884,-0.643,-0.145,-1.05
"Q86Y37",-4.93,-3.85,-4.3,-5.71
"Q86Y39",0.0884,-0.643,-0.145,-0.35
"Q86Y46",3.43,-2.34,-0.196,3.24
"Q86Y46;Q3SY84",0.0884,1.44,-0.145,-0.35
"Q86Y46;Q3SY84;P19013",-0.45,-1.3,0.439,-0.35
"Q86Y56",-4.34,-2.9,-0.991,-2.86
"Q86Y79",-3.08,-2.26,-2.12,-1.15
"Q86Y82",-1.05,-1.32,-1.05,-0.512
"Q86Y91",-1.32,-0.847,-0.563,-2.69
"Q86YA3",-2.94,-0.643,-0.636,-4.74
"Q86YD1",-1.4,-4.89,-2.21,-5.17
"Q86YD1;Q71SY5",-4.54,-9.56,-6.64,-8.27
"Q86YH6",0.0884,-0.617,-0.145,-0.799
"Q86YM7",-0.948,-3.06,-0.145,-0.35
"Q86YN1",0.0884,-1.43,-0.145,-0.35
"Q86YN6",-1.57,-3.29,-0.145,-0.35
"Q86YP4",-5.57,-5.41,-2.58,-4.55
"Q86YP4;Q8WXI9",-4.46,-6.7,-2.42,-5.25
"Q86YR5",-4.52,-3.74,-0.115,-4.7
"Q86YS3",0.0884,-0.643,-0.145,-0.35
"Q86YS6",0.0884,-0.92,-0.145,-0.35
"Q86YS7",-1.13,-1.71,-0.721,-1.97
"Q86YT6",-6.51,-3.51,-4.06,-3.8
"Q86YV0",-2.45,-0.643,-0.145,-0.35
"Q86YV5",0.0884,-0.643,-0.145,-2.38
"Q86YV9",-3.85,-4.17,-1.96,-4.92
"Q86YZ3",-1.48,0.338,0.863,3.4
"Q86Z02",-0.632,-4.38,-4.47,-4.66
"Q8IU60",-4.76,-3.9,-1.32,-2.97
"Q8IU81",-3.32,-6.38,-2.52,-4.88
"Q8IUC4",0.0884,-1.6,-2.49,-2.18
"Q8IUD2",-2.61,-1.13,-0.123,0.736
"Q8IUD2;O15083",-0.887,-1.6,0.946,1.07
"Q8IUF8",-2.82,-3,-0.38,-1.7
"Q8IUH3",-2.14,-1.9,-3.01,-1.27
"Q8IUH4",-3.06,-3.41,-0.367,-0.182
"Q8IUH5",0.0884,-0.643,-0.145,-0.35
"Q8IUI8",-3.07,-2.4,-0.145,-3.54
"Q8IUL8",-4.8,-1.66,-5.73,-4.8
"Q8IUR0",-2.64,-3.29,0.379,-2.21
"Q8IUR7",-2.55,-3.35,-1.4,-1.28
"Q8IUX4",-2.87,-2.72,-0.145,-1.18
"Q8IUX7",0.0884,-0.643,-0.145,-2.02
"Q8IUZ0",0.0884,-0.643,-0.145,-0.35
"Q8IV04",-5.46,-4.93,-6.55,-10
"Q8IV08",-0.926,-0.676,-0.426,-3.15
"Q8IV36",0.0884,-3.4,-0.733,-1.45
"Q8IV38",-1.99,-1.44,-0.145,-1.67
"Q8IV63",-1.95,-1.43,-0.41,-1.38
"Q8IVD9",-2.32,-4.33,-1.55,-3.6
"Q8IVF2",0.0884,-2.75,-0.33,0.949
"Q8IVH2",-0.89,-5.34,-3.45,-6.18
"Q8IVH8",0.0884,-2.26,-1.67,-3.14
"Q8IVI9",0.0884,-0.643,-0.145,-0.35
"Q8IVL6",0.0884,-0.643,-0.145,-0.35
"Q8IVM0",0.0884,-3.3,1,-1.7
"Q8IVQ6",0.0884,-0.643,0.603,-0.35
"Q8IVS2",-0.0172,-0.643,-0.145,-0.35
"Q8IVT2",0.0884,-1.07,-0.672,-0.35
"Q8IVT5",0.0884,-2.39,-0.145,-0.35
"Q8IVW6",-2.75,-4,-0.145,-0.35
"Q8IW35",-9.71,-6.16,-5.18,-7.09
"Q8IW45",-0.282,-2.23,-0.145,-0.558
"Q8IW92",0.0884,-0.643,-0.145,-0.35
"Q8IWA0",-2.2,-4.11,-1.19,-1.21
"Q8IWA4",0.0884,-0.643,-0.145,-2.32
"Q8IWA5",0.0884,-3.59,-0.145,-0.35
"Q8IWB7",-4.63,-6.03,-3.58,-4.6
"Q8IWB9",0.0884,-1.17,-0.145,-1.49
"Q8IWC1",0.0884,-2.98,-2.62,-3.14
"Q8IWE2",0.906,-3.44,-0.813,-0.752
"Q8IWI9",-5.47,-7,-4.17,-5.79
"Q8IWJ2",-5.32,-5.78,-3.32,-4.17
"Q8IWR0",-2.9,-1.76,-1.23,-2.88
"Q8IWS0",-2.58,-4.89,-0.93,-1.11
"Q8IWT3",-3.83,-2.77,-0.145,-1.22
"Q8IWT6",-0.272,-1.95,0.712,-1.27
"Q8IWU2",0.0884,-0.643,-0.145,-0.35
"Q8IWV7",-4.41,-3.31,-1.43,-3.98
"Q8IWV8",-2.23,-2.79,-1.29,-2.11
"Q8IWW6",0.0884,-1.17,-1.38,-1.24
"Q8IWX8",-4.12,-3.06,-0.577,-2.06
"Q8IWY8",-0.98,-4.53,-2.28,-1.45
