"","Jurkat","KMBC2","MCF7","231"
"O00507",-3.92,-1.94,-1.28,-2.73
"O00507;Q93008",-4.82,-3.14,-0.171,-1.66
"O00512",-3.04,-4.87,-2.12,-3.91
"O00515",0.0884,-3.19,-0.19,0.886
"O00519",0.0884,-0.643,-0.484,-0.35
"O00522",0.0884,-2.67,-0.145,-1.92
"O00534",-1.92,-0.643,-0.0554,0.723
"O00541",-2.25,-1.72,-0.706,-0.811
"O00559",0.0884,-0.643,-0.145,-0.35
"O00560",-3.9,-3.25,3.09,-1.98
"O00562",-0.858,-1.9,-0.742,0.773
"O00566",-3.24,-2.88,-0.617,-0.845
"O00567",-1.04,-1.78,-0.758,-0.986
"O00571",-2.49,-1.51,-0.655,-1.22
"O00571;O15523",-2.66,-1.73,-0.659,-1.15
"O00571;O15523;Q9NQI0",-1.09,-0.87,0.0336,-0.444
"O00591",0.0884,-0.643,-0.145,-0.35
"O00592",-0.763,-2.12,-0.728,-1.11
"O00622",0.0884,-0.643,-0.145,-0.171
"O00625",0.0884,-2.71,-2.44,-1.5
"O00629",-1.37,-2.58,-0.636,0.942
"O00635",-3.72,-4.08,-0.145,-3.54
"O00712",0.0884,-7.01,-3.25,-6.99
"O00716",-1.19,-3.26,-1.42,-6.43
"O00743",-4.74,-4.73,-2.44,-4.45
"O00746",0.0884,-0.643,-0.145,-0.35
"O00750",-3.32,-5.3,-1.33,-1.44
"O00754",0.0884,-0.643,-0.145,-0.35
"O00762;UBE2C_HUMAN",-0.429,-2.05,-0.784,-2.01
"O00764",0.0475,-2.34,-0.349,-3.02
"O00767",-1.61,-2.59,-0.903,-2.15
"O14490",0.0884,-0.643,-0.145,-0.35
"O14497",-4.77,-7.21,-3.56,-4.97
"O14497;Q8NFD5",-5.99,-7.32,-4.61,-6.93
"O14503",0.0884,-4.47,-0.798,-2.84
"O14521",0.0884,-1.86,-0.145,-0.35
"O14523",0.0884,-0.643,-0.145,0.0264
"O14530",-3.28,-4.36,-0.654,-2.86
"O14544",0.0884,-1.21,-0.145,-0.35
"O14545",-2.9,-4.1,-1.59,-3.71
"O14561",-3.33,-4.09,-1.11,-1.13
"O14562",-4.9,-5.16,-3.42,-3.71
"O14576",0.0884,-0.643,-0.145,-0.35
"O14578",-2.09,-2.42,-1.01,-1.77
"O14579",-4.1,-3.53,-1.32,-1.19
"O14602;P47813",-1.57,-1.22,-0.314,-1.41
"O14613",0.0884,-1.67,-0.145,-1.29
"O14617",-2.2,-2.24,-0.801,-1.38
"O14618",-4.24,-5.92,-3.97,-4.13
"O14639",-4.73,-2.93,-1.95,-1.05
"O14641",-1.46,-1.56,-1.4,-0.942
"O14646",-1.97,-2,-0.443,-1.09
"O14646;O14647",-2.96,-3.39,-1.3,-1.49
"O14647",-1.54,-2.32,-0.252,-1.92
"O14653",-1.25,-1.33,-1.48,-1.3
"O14656",-0.991,-3.08,-1.54,-0.752
"O14657",0.0884,-1.7,-1.11,-0.35
"O14662",-0.613,-2,-1.45,-1.53
"O14672",-3.1,-3.1,-1.44,-2.64
"O14678",0.292,-0.643,-0.145,-0.35
